"Name","Count","Front Template","Back Template","Slot1","Slot2","Slot3","Slot4","Slot5","Slot6","Slot7","Slot8","Slot9","PriceA"
"John","1","Customer Card Layout","Poker Back N1buk7ivl","Cabbage","Cabbage","Cabbage","Mushroom","Mushroom","Nothing","Nothing","Nothing","Nothing","21"
"Aaron","1","Customer Card Layout","Poker Back N1buk7ivl","Mushroom","Mushroom","Tomato","Tomato","Tomato","Tomato","Cucumber","Cucumber","Nothing","20"
"Alejandro","1","Customer Card Layout","Poker Back N1buk7ivl","Broccoli","Broccoli","Broccoli","Broccoli","Broccoli","Broccoli","Nothing","Nothing","Nothing","18"
"Henry","1","Customer Card Layout","Poker Back N1buk7ivl","Onion","Onion","Onion","Onion","Carrot","Carrot","Carrot","Nothing","Nothing","14"
"Dwyane","1","Customer Card Layout","Poker Back N1buk7ivl","Corn","Corn","Corn","Corn","Beet","Beet","Beet","Nothing","Nothing","10"
"Mark","1","Customer Card Layout","Poker Back N1buk7ivl","Onion","Onion","Onion","Onion","Onion","Onion","Potato","Potato","Nothing","18"
"Lea","1","Customer Card Layout","Poker Back N1buk7ivl","Watermelon","Watermelon","Watermelon","Banana","Banana","Banana","Corn","Corn","Nothing","20"
"Kara","1","Customer Card Layout","Poker Back N1buk7ivl","Corn","Corn","Corn","Corn","Corn","Tomato","Tomato","Tomato","Tomato","13"
"Gregoria","1","Customer Card Layout","Poker Back N1buk7ivl","Beet","Beet","Beet","Beet","Coconut","Coconut","Coconut","Nothing","Nothing","17"
"Georgia","1","Customer Card Layout","Poker Back N1buk7ivl","Onion","Onion","Onion","Onion","Onion","Lemon","Lemon","Lemon","Nothing","19"
"Lana","1","Customer Card Layout","Poker Back N1buk7ivl","Potato","Potato","Potato","Potato","Pear","Pear","Pear","Nothing","Nothing","18"
"Sophia","1","Customer Card Layout","Poker Back N1buk7ivl","Pepper","Pepper","Pepper","Cabbage","Cabbage","Cabbage","Cabbage","Nothing","Nothing","26"
"Henry","1","Customer Card Layout","Poker Back N1buk7ivl","Avocado","Avocado","Avocado","Avocado","Nothing","Nothing","Nothing","Nothing","Nothing","16"
"Dracula","1","Customer Card Layout","Poker Back N1buk7ivl","Watermelon","Peach","Peach","Peach","Peach","Peach","Nothing","Nothing","Nothing","19"
"Marcus","1","Customer Card Layout","Poker Back N1buk7ivl","Strawberry","Strawberry","Strawberry","Strawberry","Strawberry","Strawberry","Strawberry","Strawberry","Strawberry","27"
"Alexa","1","Customer Card Layout","Poker Back N1buk7ivl","Cherry","Cherry","Cherry","Dragonfruit","Dragonfruit","Dragonfruit","Nothing","Nothing","Nothing","18"
"Ling","1","Customer Card Layout","Poker Back N1buk7ivl","Cabbage","Cabbage","Cabbage","Cabbage","Nothing","Nothing","Nothing","Nothing","Nothing","20"
"Risa","1","Customer Card Layout","Poker Back N1buk7ivl","Mushroom","Cabbage","Mushroom","Cabbage","Nothing","Mushroom","Cabbage","Nothing","Nothing","24"
"Miranda","1","Customer Card Layout","Poker Back N1buk7ivl","Carrot","Carrot","Carrot","Carrot","Orange","Orange","Orange","Nothing","Nothing","14"
"Jeff","1","Customer Card Layout","Poker Back N1buk7ivl","Corn","Pepper","Onion","Mushroom","Cabbage","Cucumber","Cucumber","Onion","Pepper","23"
"Sebastian","1","Customer Card Layout","Poker Back N1buk7ivl","Broccoli","Broccoli","Corn","Beet","Beet","Beet","Beet","Banana","Nothing","17"
